transaction_id,timestamp,system_type,amount,status
1,2025-01-23 00:02:56,ATM,2311.7,SUCCESS
2,2025-01-07 05:23:17,Mobile,1100.71,SUCCESS
3,2025-01-08 12:15:30,Mobile,4013.65,SUCCESS
4,2025-01-14 03:48:59,Web,3166.75,SUCCESS
5,2025-01-29 10:19:28,Mobile,2379.99,SUCCESS
6,2025-01-09 00:59:33,Mobile,4417.09,SUCCESS
7,2025-01-21 00:55:23,Web,3769.95,SUCCESS
8,2025-01-12 09:33:23,ATM,4893.35,SUCCESS
9,2025-01-11 17:16:03,ATM,3065.11,SUCCESS
10,2025-01-27 19:33:06,Mobile,3007.08,SUCCESS
11,2025-01-28 02:18:47,ATM,2093.01,SUCCESS
12,2025-01-16 14:24:42,Web,3183.06,SUCCESS
13,2025-01-16 09:03:09,Mobile,4495.84,SUCCESS
14,2025-01-17 21:30:30,ATM,3092.0,SUCCESS
15,2025-01-22 05:39:33,Web,77.23,SUCCESS
16,2025-01-08 10:37:56,Mobile,188.46,SUCCESS
17,2025-01-10 12:48:32,ATM,3552.48,SUCCESS
18,2025-01-08 02:54:30,Web,1421.64,SUCCESS
19,2025-01-08 06:40:01,Mobile,,SUCCESS
20,2025-01-25 13:03:21,Web,1797.7,SUCCESS
21,2025-01-26 13:43:55,Mobile,4545.4,SUCCESS
22,2025-01-19 19:36:16,Web,1505.79,FAILED
23,2025-01-14 20:19:12,Web,3633.77,SUCCESS
24,2025-01-23 01:54:19,Web,3316.56,SUCCESS
25,2025-01-15 18:08:22,ATM,1776.65,SUCCESS
26,2025-01-25 12:29:32,Sensor,2145.2,SUCCESS
27,2025-01-27 11:37:29,Mobile,3229.04,SUCCESS
28,2025-01-12 05:37:29,Mobile,3514.46,SUCCESS
29,2025-01-05 10:00:43,ATM,2942.58,SUCCESS
30,2025-01-27 01:27:41,Web,2750.3,SUCCESS
31,2025-01-07 17:19:02,Sensor,968.27,SUCCESS
32,2025-01-15 08:14:50,Mobile,2508.41,SUCCESS
33,2025-01-10 07:55:54,ATM,171.55,SUCCESS
34,2025-01-19 07:58:18,Web,1705.8,SUCCESS
35,2025-01-16 23:34:54,Mobile,3126.35,SUCCESS
36,2025-01-25 11:46:07,Web,4332.47,SUCCESS
37,2025-01-28 23:13:50,ATM,681.16,SUCCESS
38,2025-01-22 13:42:28,ATM,1360.64,SUCCESS
39,2025-01-03 08:01:18,ATM,3766.2,SUCCESS
40,2025-01-21 07:53:01,ATM,1132.71,FAILED
